ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT,USE,VARIABLE
417,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site,246,1,7
419,Bacterial infection NOS,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",15,1,7
430,Subarachnoid hemorrhage,Subarachnoid hemorrhage,588,1,7
431,Intracerebral hemorrhage,Intracerebral hemorrhage,1220,1,7
436,Cva,"Acute, but ill-defined, cerebrovascular disease",19,1,7
449,Septic arterial embolism,Septic arterial embolism,24,1,7
452,Portal vein thrombosis,Portal vein thrombosis,188,1,7
462,Acute pharyngitis,Acute pharyngitis,30,1,8
463,Prog multifoc leukoencep,Progressive multifocal leukoencephalopathy,4,1,8
463,Acute tonsillitis,Acute tonsillitis,2,1,8
470,Deviated nasal septum,Deviated nasal septum,5,1,8
470,Coxsackie virus mening,Meningitis due to coxsackie virus,1,1,8
475,Peritonsillar abscess,Peritonsillar abscess,13,1,8
478,Viral meningitis NEC,Other specified viral meningitis,2,1,8
479,Viral meningitis NOS,Unspecified viral meningitis,22,1,8
481,Pneumococcal pneumonia,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],151,1,8
485,Bronchopneumonia org NOS,"Bronchopneumonia, organism unspecified",47,1,8
486,"Pneumonia, organism NOS","Pneumonia, organism unspecified",3457,1,8
490,Bronchitis NOS,"Bronchitis, not specified as acute or chronic",31,1,8
491,Adenoviral meningitis,Meningitis due to adenovirus,1,1,8
496,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified",3095,1,8
498,Viral encephalitis NEC,Other specified non-arthropod-borne viral diseases of central nervous system,1,1,8
499,Viral encephalitis NOS,Unspecified non-arthropod-borne viral diseases of central nervous system,11,1,8
500,Coal workers' pneumocon,Coal workers' pneumoconiosis,3,1,8
501,Asbestosis,Asbestosis,93,1,8
502,Silica pneumocon NEC,Pneumoconiosis due to other silica or silicates,4,1,8
514,Pulm congest/hypostasis,Pulmonary congestion and hypostasis,115,1,8
515,Postinflam pulm fibrosis,Postinflammatory pulmonary fibrosis,402,1,8
520,Postvaricella encephalit,Postvaricella encephalitis,3,1,9
521,Varicella pneumonitis,Varicella (hemorrhagic) pneumonitis,3,1,9
527,Varicella complicat NEC,Chickenpox with other specified complications,4,1,9
529,Varicella uncomplicated,Varicella without mention of complication,3,1,9
530,Herpes zoster meningitis,Herpes zoster with meningitis,5,1,9
538,GI mucositis (ulceratve),Gastrointestinal mucositis (ulcerative),2,1,9
539,Herpes zoster NOS,Herpes zoster without mention of complication,43,1,9
540,Eczema herpeticum,Eczema herpeticum,1,1,9
541,Appendicitis NOS,"Appendicitis, unqualified",5,1,9
542,Herpetic gingivostomat,Herpetic gingivostomatitis,20,1,9
542,Other appendicitis,Other appendicitis,2,1,9
543,Herpetic encephalitis,Herpetic meningoencephalitis,19,1,9
545,Herpetic septicemia,Herpetic septicemia,2,1,9
549,Herpes simplex NOS,Herpes simplex without mention of complication,83,1,9
566,Anal & rectal abscess,Abscess of anal and rectal regions,32,1,9
570,Acute necrosis of liver,Acute and subacute necrosis of liver,885,1,9
579,Viral exanthemata NOS,"Viral exanthem, unspecified",3,1,9
581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus,2,1,10
586,Renal failure NOS,"Renal failure, unspecified",15,1,10
587,Renal sclerosis NOS,"Renal sclerosis, unspecified",13,1,10
591,Hydronephrosis,Hydronephrosis,298,1,10
605,Redun prepuce & phimosis,Redundant prepuce and phimosis,19,1,10
622,East equine encephalitis,Eastern equine encephalitis,1,1,10
632,Missed abortion,Missed abortion,4,1,11
677,Late effct cmplcatn preg,"Late effect of complication of pregnancy, childbirth, and the puerperium",2,1,11
683,Acute lymphadenitis,Acute lymphadenitis,5,1,12
684,Impetigo,Impetigo,2,1,12
700,Corns and callosities,Corns and callosities,2,1,12
700,Hepatitis A with coma,Viral hepatitis A with hepatic coma,1,1,12
701,Hepatitis A w/o coma,Viral hepatitis A without mention of hepatic coma,16,1,12
725,Polymyalgia rheumatica,Polymyalgia rheumatica,206,1,13
734,Flat foot,Flat foot,4,1,13
778,Viral conjunctivitis NEC,Other viral conjunctivitis,2,1,0
780,Molluscum contagiosum,Molluscum contagiosum,1,1,15
785,Cytomegaloviral disease,Cytomegaloviral disease,63,1,15
790,Adenovirus infect NOS,Adenovirus infection in conditions classified elsewhere and of unspecified site,3,1,16
794,Human papillomavirus,Human papillomavirus in conditions classified elsewhere and of unspecified site,1,1,16
796,Resprtry syncytial virus,Respiratory syncytial virus (RSV),6,1,16
804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,1,1,18
839,Rickettsiosis NOS,"Rickettsiosis, unspecified",1,1,18
840,Falciparum malaria,Falciparum malaria [malignant tertian],4,1,18
844,Malaria NEC,Other malaria,2,1,18
845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,961,1,18
846,Malaria NOS,"Malaria, unspecified",1,1,18
849,Malaria complicated NEC,Other pernicious complications of malaria,1,1,18
859,Leishmaniasis NOS,"Leishmaniasis, unspecified",1,1,18
860,Chagas disease of heart,Chagas' disease with heart involvement,2,1,18
861,Intes infec rotavirus,Enteritis due to rotavirus,1,1,18
862,Intes infec adenovirus,Enteritis due to adenovirus,2,1,18
863,Int inf norwalk virus,Enteritis due to norwalk virus,4,1,18
869,Other viral intes infec,Enteritis due to other viral enteritis,11,1,18
912,Primary syphilis NEC,Other primary syphilis,1,1,18
919,Secondary syphilis NOS,Unspecified secondary syphilis,1,1,18
920,Contusion face/scalp/nck,"Contusion of face, scalp, and neck except eye(s)",178,1,18
932,Foreign body in nose,Foreign body in nose,2,1,18
936,FB in intestine & colon,Foreign body in intestine and colon,12,1,18
937,Foreign body anus/rectum,Foreign body in anus and rectum,1,1,18
938,Foreign body GI NOS,"Foreign body in digestive system, unspecified",3,1,18
940,Tabes dorsalis,Tabes dorsalis,4,1,18
949,Neurosyphilis NOS,"Neurosyphilis, unspecified",5,1,18
970,Late syphilis NOS,"Late syphilis, unspecified",1,1,18
971,Latent syphilis NOS,"Latent syphilis, unspecified",3,1,18
979,Syphilis NOS,"Syphilis, unspecified",3,1,18
980,Acute gc infect lower gu,Gonococcal infection (acute) of lower genitourinary tract,2,1,18
986,Tox eff carbon monoxide,Toxic effect of carbon monoxide,2,1,18
990,Effects radiation NOS,"Effects of radiation, unspecified",7,1,18
993,Reiter's disease,Reiter's disease,2,1,18
1085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,1,1
1100,Dermatophyt scalp/beard,Dermatophytosis of scalp and beard,1,1,1
1101,Dermatophytosis of nail,Dermatophytosis of nail,23,1,1
1103,Dermatophytosis of groin,Dermatophytosis of groin and perianal area,28,1,1
1104,Dermatophytosis of foot,Dermatophytosis of foot,13,1,1
1105,Dermatophytosis of body,Dermatophytosis of the body,24,1,1
1106,Deep dermatophytosis,Deep seated dermatophytosis,1,1,1
1108,Dermatophytosis site NEC,Dermatophytosis of other specified sites,9,1,1
1109,Dermatophytosis site NOS,Dermatophytosis of unspecified site,1,1,1
1110,Pityriasis versicolor,Pityriasis versicolor,4,1,1
1119,Dermatomycosis NOS,"Dermatomycosis, unspecified",13,1,1
1120,Thrush,Candidiasis of mouth,470,1,1
1121,Candidal vulvovaginitis,Candidiasis of vulva and vagina,71,1,1
1122,Candidias urogenital NEC,Candidiasis of other urogenital sites,215,1,1
1123,Cutaneous candidiasis,Candidiasis of skin and nails,75,1,1
1123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",1,1,1
1124,Candidiasis of lung,Candidiasis of lung,25,1,1
1125,Disseminated candidiasis,Disseminated candidiasis,131,1,1
1129,Candidiasis site NOS,Candidiasis of unspecified site,17,1,1
1136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,1,1
1140,Primary coccidioidomycos,Primary coccidioidomycosis (pulmonary),1,1,1
1149,Coccidioidomycosis NOS,"Coccidioidomycosis, unspecified",1,1,1
1160,Blastomycosis,Blastomycosis,1,1,1
1164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,1,1
1173,Aspergillosis,Aspergillosis,72,1,1
1174,Mycotic mycetomas,Mycotic mycetomas,1,1,1
1175,Cryptococcosis,Cryptococcosis,12,1,1
1177,Zygomycosis,Zygomycosis [Phycomycosis or Mucormycosis],3,1,1
1179,Mycoses NEC & NOS,Other and unspecified mycoses,101,1,1
1186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,1,1
1190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",5,1,1
1193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",1,1,1
1194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,1,1
1205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,1,1
1208,Schistosomiasis NEC,Other specified schistosomiasis,1,1,1
1209,Schistosomiasis NOS,"Schistosomiasis, unspecified",1,1,1
1211,Clonorchiasis,Clonorchiasis,3,1,1
1228,Echinococcosis NOS liver,"Echinococcosis, unspecified, of liver",2,1,1
1231,Cysticercosis,Cysticercosis,9,1,1
1270,Ascariasis,Ascariasis,1,1,1
1272,Strongyloidiasis,Strongyloidiasis,3,1,1
1273,Trichuriasis,Trichuriasis,1,1,1
1300,Toxoplasm meningoenceph,Meningoencephalitis due to toxoplasmosis,5,1,1
1300,TB meningitis-unspec,"Tuberculous meningitis, unspecified",3,1,1
1304,TB meningitis-cult dx,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,1,1
1307,Toxoplasmosis site NEC,Toxoplasmosis of other specified sites,8,1,1
1308,Multisystem toxoplasmos,Multisystemic disseminated toxoplasmosis,1,1,1
1309,Toxoplasmosis NOS,"Toxoplasmosis, unspecified",1,1,1
1320,Pediculus capitis,Pediculus capitis [head louse],2,1,1
1325,Tubrcloma brain-histo dx,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,1,1
1329,Pediculosis NOS,"Pediculosis, unspecified",1,1,1
1330,Scabies,Scabies,6,1,1
1330,TB brain abscess-unspec,"Tuberculous abscess of brain, unspecified",1,1,1
1348,Infestation NEC,Other specified infestations,1,1,1
1354,TB sp crd absc-cult dx,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,1,1
1361,Behcet's syndrome,Behcet's syndrome,2,1,1
1363,Pneumocystosis,Pneumocystosis,70,1,1
1369,Infect/parasite dis NOS,Unspecified infectious and parasitic diseases,10,1,1
1370,"Late effect tb, resp/NOS",Late effects of respiratory or unspecified tuberculosis,2,1,1
1373,Late eff bone & joint TB,Late effects of tuberculosis of bones and joints,2,1,1
1390,Late eff viral encephal,Late effects of viral encephalitis,2,1,1
1398,Late eff infect dis NEC,Late effects of other and unspecified infectious and parasitic diseases,9,1,1
1401,Mal neo lower vermilion,"Malignant neoplasm of lower lip, vermilion border",1,1,2
1402,TB peritonitis-exam unkn,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)",1,1,2
1405,TB peritonitis-histo dx,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,1,2
1409,Mal neo lip/vermil NOS,"Malignant neoplasm of lip, unspecified, vermilion border",2,1,2
1410,Mal neo tongue base,Malignant neoplasm of base of tongue,9,1,2
1414,Mal neo ant 2/3 tongue,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",2,1,2
1418,Malig neo tongue NEC,Malignant neoplasm of other sites of tongue,6,1,2
1419,Malig neo tongue NOS,"Malignant neoplasm of tongue, unspecified",3,1,2
1420,Malig neo parotid,Malignant neoplasm of parotid gland,5,1,2
1429,Mal neo salivary NOS,"Malignant neoplasm of salivary gland, unspecified",1,1,2
1430,Malig neo upper gum,Malignant neoplasm of upper gum,1,1,2
1431,Malig neo lower gum,Malignant neoplasm of lower gum,1,1,2
1439,Malig neo gum NOS,"Malignant neoplasm of gum, unspecified",1,1,2
1440,Mal neo ant floor mouth,Malignant neoplasm of anterior portion of floor of mouth,4,1,2
1448,Mal neo mouth floor NEC,Malignant neoplasm of other sites of floor of mouth,2,1,2
1449,Mal neo mouth floor NOS,"Malignant neoplasm of floor of mouth, part unspecified",2,1,2
1450,Mal neo cheek mucosa,Malignant neoplasm of cheek mucosa,3,1,2
1452,Malig neo hard palate,Malignant neoplasm of hard palate,2,1,2
1453,Malig neo soft palate,Malignant neoplasm of soft palate,2,1,2
1455,Malignant neo palate NOS,"Malignant neoplasm of palate, unspecified",1,1,2
1458,Malig neoplasm mouth NEC,Malignant neoplasm of other specified parts of mouth,1,1,2
1460,Malignant neopl tonsil,Malignant neoplasm of tonsil,4,1,2
1461,Mal neo tonsillar fossa,Malignant neoplasm of tonsillar fossa,1,1,2
1467,Mal neo post oropharynx,Malignant neoplasm of posterior wall of oropharynx,1,1,2
1468,Mal neo oropharynx NEC,Malignant neoplasm of other specified sites of oropharynx,2,1,2
1469,Malig neo oropharynx NOS,"Malignant neoplasm of oropharynx, unspecified site",1,1,2
1471,Mal neo post nasopharynx,Malignant neoplasm of posterior wall of nasopharynx,2,1,2
1478,Mal neo nasopharynx NEC,Malignant neoplasm of other specified sites of nasopharynx,4,1,2
1479,Mal neo nasopharynx NOS,"Malignant neoplasm of nasopharynx, unspecified site",5,1,2
1481,Mal neo pyriform sinus,Malignant neoplasm of pyriform sinus,4,1,2
1485,Intestin TB NEC-histo dx,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,1,2
1488,Mal neo hypopharynx NEC,Malignant neoplasm of other specified sites of hypopharynx,2,1,2
1490,Mal neo pharynx NOS,"Malignant neoplasm of pharynx, unspecified",3,1,2
1498,Mal neo oral/pharynx NEC,Malignant neoplasm of other sites within the lip and oral cavity,1,1,2
1500,Mal neo cervical esophag,Malignant neoplasm of cervical esophagus,1,1,2
1501,Mal neo thoracic esophag,Malignant neoplasm of thoracic esophagus,5,1,2
1503,Mal neo upper 3rd esoph,Malignant neoplasm of upper third of esophagus,6,1,2
1504,Mal neo middle 3rd esoph,Malignant neoplasm of middle third of esophagus,17,1,2
1504,TB of vertebra-cult dx,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",2,1,2
1505,Mal neo lower 3rd esoph,Malignant neoplasm of lower third of esophagus,55,1,2
1505,TB of vertebra-histo dx,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,1,2
1508,Mal neo esophagus NEC,Malignant neoplasm of other specified part of esophagus,65,1,2
1509,Mal neo esophagus NOS,"Malignant neoplasm of esophagus, unspecified site",22,1,2
1510,Mal neo stomach cardia,Malignant neoplasm of cardia,84,1,2
1511,Malignant neo pylorus,Malignant neoplasm of pylorus,2,1,2
1512,Mal neo pyloric antrum,Malignant neoplasm of pyloric antrum,13,1,2
1513,Mal neo stomach fundus,Malignant neoplasm of fundus of stomach,2,1,2
1514,Mal neo stomach body,Malignant neoplasm of body of stomach,10,1,2
1515,Mal neo stom lesser curv,"Malignant neoplasm of lesser curvature of stomach, unspecified",1,1,2
1516,Mal neo stom great curv,"Malignant neoplasm of greater curvature of stomach, unspecified",1,1,2
1518,Malig neopl stomach NEC,Malignant neoplasm of other specified sites of stomach,24,1,2
1519,Malig neopl stomach NOS,"Malignant neoplasm of stomach, unspecified site",12,1,2
1520,Malignant neopl duodenum,Malignant neoplasm of duodenum,14,1,2
1521,Malignant neopl jejunum,Malignant neoplasm of jejunum,1,1,2
1522,Malignant neoplasm ileum,Malignant neoplasm of ileum,3,1,2
1528,Mal neo small bowel NEC,Malignant neoplasm of other specified sites of small intestine,3,1,2
1529,Mal neo small bowel NOS,"Malignant neoplasm of small intestine, unspecified site",2,1,2
1530,Mal neo hepatic flexure,Malignant neoplasm of hepatic flexure,4,1,2
1531,Mal neo transverse colon,Malignant neoplasm of transverse colon,12,1,2
1532,Mal neo descend colon,Malignant neoplasm of descending colon,11,1,2
1533,Mal neo sigmoid colon,Malignant neoplasm of sigmoid colon,29,1,2
1534,Malignant neoplasm cecum,Malignant neoplasm of cecum,18,1,2
1535,Malignant neo appendix,Malignant neoplasm of appendix vermiformis,3,1,2
1536,Malig neo ascend colon,Malignant neoplasm of ascending colon,29,1,2
1537,Mal neo splenic flexure,Malignant neoplasm of splenic flexure,6,1,2
1538,Malignant neo colon NEC,Malignant neoplasm of other specified sites of large intestine,24,1,2
1539,Malignant neo colon NOS,"Malignant neoplasm of colon, unspecified site",26,1,2
1540,Mal neo rectosigmoid jct,Malignant neoplasm of rectosigmoid junction,17,1,2
1541,Malignant neopl rectum,Malignant neoplasm of rectum,36,1,2
1542,Malig neopl anal canal,Malignant neoplasm of anal canal,1,1,2
1543,Malignant neo anus NOS,"Malignant neoplasm of anus, unspecified site",4,1,2
1548,Mal neo rectum/anus NEC,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",9,1,2
1550,"Mal neo liver, primary","Malignant neoplasm of liver, primary",261,1,2
1551,Mal neo intrahepat ducts,Malignant neoplasm of intrahepatic bile ducts,55,1,2
1552,Malignant neo liver NOS,"Malignant neoplasm of liver, not specified as primary or secondary",33,1,2
1560,Malig neo gallbladder,Malignant neoplasm of gallbladder,19,1,2
1561,Mal neo extrahepat ducts,Malignant neoplasm of extrahepatic bile ducts,34,1,2
1562,Mal neo ampulla of vater,Malignant neoplasm of ampulla of vater,19,1,2
1568,Malig neo biliary NEC,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts,6,1,2
1569,Malig neo biliary NOS,"Malignant neoplasm of biliary tract, part unspecified site",6,1,2
1570,Mal neo pancreas head,Malignant neoplasm of head of pancreas,107,1,2
1571,Mal neo pancreas body,Malignant neoplasm of body of pancreas,7,1,2
1572,Mal neo pancreas tail,Malignant neoplasm of tail of pancreas,13,1,2
1573,Mal neo pancreatic duct,Malignant neoplasm of pancreatic duct,3,1,2
1574,Mal neo islet langerhans,Malignant neoplasm of islets of langerhans,2,1,2
1578,Malig neo pancreas NEC,Malignant neoplasm of other specified sites of pancreas,77,1,2
1579,Malig neo pancreas NOS,"Malignant neoplasm of pancreas, part unspecified",30,1,2
1580,Mal neo retroperitoneum,Malignant neoplasm of retroperitoneum,9,1,2
1588,Mal neo peritoneum NEC,Malignant neoplasm of specified parts of peritoneum,10,1,2
1589,Mal neo peritoneum NOS,"Malignant neoplasm of peritoneum, unspecified",5,1,2
1598,Mal neo gi/intra-abd NEC,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,1,1,2
1599,Mal neo GI tract ill-def,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum,2,1,2
1602,Mal neo maxillary sinus,Malignant neoplasm of maxillary sinus,1,1,2
1603,Mal neo ethmoidal sinus,Malignant neoplasm of ethmoidal sinus,1,1,2
1608,Mal neo access sinus NEC,Malignant neoplasm of other accessory sinuses,1,1,2
1609,Mal neo access sinus NOS,"Malignant neoplasm of accessory sinus, unspecified",1,1,2
1610,Malignant neo glottis,Malignant neoplasm of glottis,4,1,2
1611,Malig neo supraglottis,Malignant neoplasm of supraglottis,4,1,2
1612,Malig neo subglottis,Malignant neoplasm of subglottis,3,1,2
1613,Mal neo cartilage larynx,Malignant neoplasm of laryngeal cartilages,1,1,2
1618,Malignant neo larynx NEC,Malignant neoplasm of other specified sites of larynx,6,1,2
1619,Malignant neo larynx NOS,"Malignant neoplasm of larynx, unspecified",8,1,2
1620,Malignant neo trachea,Malignant neoplasm of trachea,5,1,2
1622,Malig neo main bronchus,Malignant neoplasm of main bronchus,57,1,2
1623,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung",259,1,2
1624,Mal neo middle lobe lung,"Malignant neoplasm of middle lobe, bronchus or lung",25,1,2
1625,Mal neo lower lobe lung,"Malignant neoplasm of lower lobe, bronchus or lung",127,1,2
1628,Mal neo bronch/lung NEC,Malignant neoplasm of other parts of bronchus or lung,312,1,2
1629,Mal neo bronch/lung NOS,"Malignant neoplasm of bronchus and lung, unspecified",131,1,2
1630,Mal neo parietal pleura,Malignant neoplasm of parietal pleura,1,1,2
1638,Malig neopl pleura NEC,Malignant neoplasm of other specified sites of pleura,2,1,2
1639,Malig neopl pleura NOS,"Malignant neoplasm of pleura, unspecified",5,1,2
1640,Malignant neopl thymus,Malignant neoplasm of thymus,4,1,2
1641,Malignant neopl heart,Malignant neoplasm of heart,2,1,2
1642,Mal neo ant mediastinum,Malignant neoplasm of anterior mediastinum,3,1,2
1643,Mal neo post mediastinum,Malignant neoplasm of posterior mediastinum,1,1,2
1648,Mal neo mediastinum NEC,Malignant neoplasm of other parts of mediastinum,2,1,2
1649,Mal neo mediastinum NOS,"Malignant neoplasm of mediastinum, part unspecified",3,1,2
1700,Mal neo skull/face bone,"Malignant neoplasm of bones of skull and face, except mandible",4,1,2
1702,Malig neo vertebrae,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",1,1,2
1703,Mal neo ribs/stern/clav,"Malignant neoplasm of ribs, sternum, and clavicle",1,1,2
1707,Mal neo long bones leg,Malignant neoplasm of long bones of lower limb,4,1,2
1710,Mal neo soft tissue head,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",6,1,2
1712,Mal neo soft tissue arm,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",3,1,2
1713,Mal neo soft tissue leg,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",8,1,2
1714,Mal neo soft tis thorax,Malignant neoplasm of connective and other soft tissue of thorax,7,1,2
1715,Mal neo soft tis abdomen,Malignant neoplasm of connective and other soft tissue of abdomen,6,1,2
1716,Mal neo soft tis pelvis,Malignant neoplasm of connective and other soft tissue of pelvis,3,1,2
1717,Mal neopl trunk NOS,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified",1,1,2
1718,Mal neo soft tissue NEC,Malignant neoplasm of other specified sites of connective and other soft tissue,2,1,2
1720,Malig melanoma lip,Malignant melanoma of skin of lip,2,1,2
1723,Mal melanom face NEC/NOS,Malignant melanoma of skin of other and unspecified parts of face,4,1,2
1724,Mal melanoma scalp/neck,Malignant melanoma of skin of scalp and neck,3,1,2
