ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT,USE,VARIABLE
45,Insert 1 vascular stent,Insertion of one vascular stent,1480,1,45
3404,Insert intercostal cath,Insertion of intercostal catheter for drainage,1376,1,3404
3613,Aortocor bypas-3 cor art,(Aorto)coronary bypass of three coronary arteries,1366,1,3613
311,Temporary tracheostomy,Temporary tracheostomy,1336,1,311
8841,Contr cerebr arteriogram,Arteriography of cerebral arteries,1320,1,8841
40,Procedure-one vessel,Procedure on single vessel,1308,1,40
3491,Thoracentesis,Thoracentesis,1299,1,3491
3521,Opn/oth rep aort vlv-tis,Open and other replacement of aortic valve with tissue graft,1243,1,3521
3897,CV cath plcmt w guidance,Central venous catheter placement with guidance,1212,1,3897
4311,Percu endosc gastrostomy,Percutaneous [endoscopic] gastrostomy [PEG],1173,1,4311
3895,Ven cath renal dialysis,Venous catheterization for renal dialysis,1169,1,3895
3606,Ins nondrug elut cor st,Insertion of non-drug-eluting coronary artery stent(s),1049,1,3606
3607,Ins drug-elut coronry st,Insertion of drug-eluting coronary artery stent(s),1004,1,3607
159,Other brain excision,Other excision or destruction of lesion or tissue of brain,960,1,159
159,Oth extraoc mus-tend op,Other operations on extraocular muscles and tendons,960,1,159
9905,Platelet transfusion,Transfusion of platelets,921,1,9905
3322,Fiber-optic bronchoscopy,Fiber-optic bronchoscopy,907,1,3322
9390,Non-invasive mech vent,Non-invasive mechanical ventilation,900,1,9390
3761,Pulsation balloon implan,Implant of pulsation balloon,884,1,3761
3323,Other bronchoscopy,Other bronchoscopy,856,1,3323
3611,Aortocor bypas-1 cor art,(Aorto)coronary bypass of one coronary artery,851,1,3611
8964,Pulmon art wedge monitor,Pulmonary artery wedge monitoring,837,1,8964
8855,Coronar arteriogr-1 cath,Coronary arteriography using a single catheter,709,1,8855
46,Insert 2 vascular stents,Insertion of two vascular stents,680,1,46
46,Periph nerve transposit,Transposition of cranial and peripheral nerves,680,1,46
8659,Skin closure NEC,Closure of skin and subcutaneous tissue of other sites,660,1,8659
390,Systemic-pulm art shunt,Systemic to pulmonary artery shunt,658,1,390
390,Insert spinal canal cath,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances,658,1,390
9962,Heart countershock NEC,Other electric countershock of heart,637,1,9962
387,Interruption vena cava,Interruption of the vena cava,620,1,387
17,Infusion of vasopressor,Infusion of vasopressor agent,610,1,17
8842,Contrast aortogram,Aortography,570,1,8842
9910,Inject/inf thrombo agent,Injection or infusion of thrombolytic agent,561,1,9910
4523,Colonoscopy,Colonoscopy,561,1,4523
9605,Resp tract intubat NEC,Other intubation of respiratory tract,551,1,9605
8847,Contr abd arteriogrm NEC,Arteriography of other intra-abdominal arteries,520,1,8847
403,Regional lymph node exc,Regional lymph node excision,514,1,403
403,Periph nerve div NEC,Division or crushing of other cranial and peripheral nerves,514,1,403
9960,Cardiopulm resuscita NOS,"Cardiopulmonary resuscitation, not otherwise specified",508,1,9960
8622,Exc wound debridement,"Excisional debridement of wound, infection, or burn",502,1,8622
3950,Angio oth non-coronary,Angioplasty of other non-coronary vessel(s),496,1,3950
5459,Oth periton adhesiolysis,Other lysis of peritoneal adhesions,485,1,5459
4443,Endosc control gast hem,Endoscopic control of gastric or duodenal bleeding,471,1,4443
8852,Rt heart angiocardiogram,Angiocardiography of right heart structures,467,1,8852
14,Injection oxazolidinone,Injection or infusion of oxazolidinone class of antibiotics,455,1,14
3721,Rt heart cardiac cath,Right heart cardiac catheterization,438,1,3721
3845,Resect thorac ves w repl,"Resection of vessel with replacement, thoracic vessels",437,1,3845
3522,Opn/oth rep aortic valve,Open and other replacement of aortic valve,434,1,3522
4516,Egd with closed biopsy,Esophagogastroduodenoscopy [EGD] with closed biopsy,430,1,4516
22,IVUS intrathoracic ves,Intravascular imaging of intrathoracic vessels,414,1,22
5187,Endosc inser stent bile,Endoscopic insertion of stent (tube) into bile duct,411,1,5187
9607,Insert gastric tube NEC,Insertion of other (naso-)gastric tube,407,1,9607
8848,Contrast arteriogram-leg,Arteriography of femoral and other lower extremity arteries,403,1,8848
309,Spinal canal explor NEC,Other exploration and decompression of spinal canal,403,1,309
131,Incise cerebral meninges,Incision of cerebral meninges,402,1,131
9925,Inject ca chemother NEC,Injection or infusion of cancer chemotherapeutic substance,393,1,9925
3614,Aortcor bypas-4+ cor art,(Aorto)coronary bypass of four or more coronary arteries,382,1,3614
93,Transplant cadaver donor,Transplant from cadaver,376,1,93
93,Other lacrimal gland ops,Other operations on lacrimal gland,376,1,93
3778,Inser temp pacemaker sys,Insertion of temporary transvenous pacemaker system,374,1,3778
3772,Int inser lead atri-vent,Initial insertion of transvenous leads [electrodes] into atrium and ventricle,373,1,3772
3783,Int insert dual-cham dev,Initial insertion of dual-chamber device,373,1,3783
5185,Endosc sphincterotomy,Endoscopic sphincterotomy and papillotomy,372,1,5185
3512,Opn mitral valvuloplasty,Open heart valvuloplasty of mitral valve without replacement,370,1,3512
9929,Inject/infuse NEC,Injection or infusion of other therapeutic or prophylactic substance,358,1,9929
4639,Enterostomy NEC,Other enterostomy,351,1,4639
5122,Cholecystectomy,Cholecystectomy,349,1,5122
4562,Part sm bowel resect NEC,Other partial resection of small intestine,333,1,4562
3734,"Exc/des hrt les,endovasc","Excision or destruction of other lesion or tissue of heart, endovascular approach",331,1,3734
8162,Fus/refus 2-3 vertebrae,Fusion or refusion of 2-3 vertebrae,329,1,8162
370,Pericardiocentesis,Pericardiocentesis,329,1,370
3726,Cath base invasv ep test,Catheter based invasive electrophysiologic testing,327,1,3726
3990,Ins non-d-e non-cor stnt,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s),326,1,3990
3979,Oth endo proc oth vessel,Other endovascular procedures on other vessels,322,1,3979
4131,Bone marrow biopsy,Biopsy of bone marrow,311,1,4131
3972,Endovasc embol hd/nk ves,Endovascular (total) embolization or occlusion of head and neck vessels,302,1,3972
8163,Fus/refus 4-8 vertebrae,Fusion or refusion of 4-8 vertebrae,301,1,8163
3321,Bronchoscopy thru stoma,Bronchoscopy through artificial stoma,295,1,3321
9961,Atrial cardioversion,Atrial cardioversion,292,1,9961
7936,Op red-int fix tib/fibul,"Open reduction of fracture with internal fixation, tibia and fibula",290,1,7936
7935,Open reduc-int fix femur,"Open reduction of fracture with internal fixation, femur",289,1,7935
3523,Opn/oth rep mtrl vlv-tis,Open and other replacement of mitral valve with tissue graft,286,1,3523
13,Inject/infus nesiritide,Injection or infusion of nesiritide,286,1,13
5411,Exploratory laparotomy,Exploratory laparotomy,284,1,5411
9359,Immobiliz/wound attn NEC,"Other immobilization, pressure, and attention to wound",283,1,9359
8628,Nonexcis debridement wnd,"Nonexcisional debridement of wound, infection or burn",282,1,8628
41,Procedure-two vessels,Procedure on two vessels,277,1,41
3142,Larygnoscopy/tracheoscop,Laryngoscopy and other tracheoscopy,274,1,3142
3964,Intraop cardiac pacemak,Intraoperative cardiac pacemaker,273,1,3964
3409,Other pleural incision,Other incision of pleura,272,1,3409
4223,Esophagoscopy NEC,Other esophagoscopy,264,1,4223
4233,Endosc destruc esoph les,Endoscopic excision or destruction of lesion or tissue of esophagus,259,1,4233
7779,Excise bone for gft NEC,"Excision of bone for graft, other bones",259,1,7779
5412,Reopen recent lap site,Reopening of recent laparotomy site,259,1,5412
8968,Oth cardiac mon output,Monitoring of cardiac output by other technique,256,1,8968
353,Vertebral fx repair,Repair of vertebral fracture,252,1,353
8960,Cnt intraart bld gas mon,Continuous intra-arterial blood gas monitoring,245,1,8960
5011,Closed liver biopsy,Closed (percutaneous) [needle] biopsy of liver,244,1,5011
8451,Ins spinal fusion device,Insertion of interbody spinal fusion device,244,1,8451
8105,Drsl/dslmb fus post/post,"Dorsal and dorsolumbar fusion of the posterior column, posterior technique",240,1,8105
9462,Alcohol detoxification,Alcohol detoxification,240,1,9462
8611,Closed bx skin/subq tiss,Closed biopsy of skin and subcutaneous tissue,240,1,8611
8604,Other skin & subq i & d,Other incision with drainage of skin and subcutaneous tissue,240,1,8604
8191,Arthrocentesis,Arthrocentesis,238,1,8191
8857,Coronary arteriogram NEC,Other and unspecified coronary arteriography,234,1,8857
3733,Exc/dest hrt lesion open,"Excision or destruction of other lesion or tissue of heart, open approach",233,1,3733
8345,Other myectomy,Other myectomy,232,1,8345
212,Brain meninge repair NEC,Other repair of cerebral meninges,228,1,212
9744,Nonop remov hrt asst sys,Nonoperative removal of heart assist system,225,1,9744
5188,Endosc remove bile stone,Endoscopic removal of stone(s) from biliary tract,224,1,5188
4525,Clos large bowel biopsy,Closed [endoscopic] biopsy of large intestine,221,1,4525
4573,Opn rt hemicolectomy NEC,Open and other right hemicolectomy,219,1,4573
4319,Other gastrostomy,Other gastrostomy,218,1,4319
3727,Cardiac mapping,Cardiac mapping,218,1,3727
8669,Free skin graft NEC,Other skin graft to other sites,207,1,8669
391,Anesth inject-spin canal,Injection of anesthetic into spinal canal for analgesia,204,1,391
391,Intra-abd venous shunt,Intra-abdominal venous shunt,204,1,391
3929,Vasc shunt & bypass NEC,Other (peripheral) vascular shunt or bypass,204,1,3929
3533,Annuloplasty,Annuloplasty,200,1,3533
5198,Oth perc proc bil trct,Other percutaneous procedures on biliary tract,194,1,5198
3844,Resect abdm aorta w repl,"Resection of vessel with replacement, aorta, abdominal",193,1,3844
9229,Radiotherapeut proc NEC,Other radiotherapeutic procedure,192,1,9229
4011,Lymphatic struct biopsy,Biopsy of lymphatic structure,191,1,4011
8051,Excision intervert disc,Excision of intervertebral disc,191,1,8051
110,Magnet removal cornea FB,Magnetic removal of embedded foreign body from cornea,190,1,110
110,Intracran pressure montr,Intracranial pressure monitoring,190,1,110
5110,Endosc retro cholangiopa,Endoscopic retrograde cholangiopancreatography [ERCP],189,1,5110
3794,Implt/repl carddefib tot,"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]",187,1,3794
5059,Liver transplant NEC,Other transplant of liver,186,1,5059
3524,Opn/oth rep mitral valve,Open and other replacement of mitral valve,182,1,3524
9723,Replace trach tube,Replacement of tracheostomy tube,180,1,9723
7966,Debrid opn fx-tibia/fib,"Debridement of open fracture site, tibia and fibula",176,1,7966
415,Total splenectomy,Total splenectomy,175,1,415
7932,Op red-int fix rad/ulna,"Open reduction of fracture with internal fixation, radius and ulna",173,1,7932
3931,Suture of artery,Suture of artery,171,1,3931
3571,Atria septa def rep NEC,Other and unspecified repair of atrial septal defect,165,1,3571
294,Plastic op on pharynx,Plastic operation on pharynx,164,1,294
294,Insert/replac skull tong,Insertion or replacement of skull tongs or halo traction device,164,1,294
8452,Insert recombinant BMP,Insertion of recombinant bone morphogenetic protein,164,1,8452
8754,Cholangiogram NEC,Other cholangiogram,160,1,8754
239,Vent shunt extracran NEC,Ventricular shunt to extracranial site NEC,159,1,239
3403,Reopen thoracotomy site,Reopening of recent thoracotomy site,158,1,3403
8314,Fasciotomy,Fasciotomy,157,1,8314
9656,Bronch/trach lavage NEC,Other lavage of bronchus and trachea,155,1,9656
4524,Flexible sigmoidoscopy,Flexible sigmoidoscopy,155,1,4524
8102,Oth cerv fusion ant/ant,"Other cervical fusion of the anterior column, anterior technique",152,1,8102
61,Perc angio extracran ves,Percutaneous angioplasty of extracranial vessel(s),151,1,61
9906,Coag factor transfusion,Transfusion of coagulation factors,150,1,9906
7939,Opn fx red w int fix NEC,"Open reduction of fracture with internal fixation, other specified bone",149,1,7939
139,Other brain incision,Other incision of brain,149,1,139
8103,Ot cerv fusion post/post,"Other cervical fusion of the posterior column, posterior technique",149,1,8103
34,Excis spinal cord lesion,Excision or destruction of lesion of spinal cord or spinal meninges,148,1,34
34,Imageless comp asst surg,Imageless computer assisted surgery,148,1,34
3712,Pericardiotomy,Pericardiotomy,147,1,3712
3949,Vasc proc revision NEC,Other revision of vascular procedure,143,1,3949
63,Perc ins carotid stent,Percutaneous insertion of carotid artery stent(s),139,1,63
3201,Endosc destruc bronc les,Endoscopic excision or destruction of lesion or tissue of bronchus,138,1,3201
8382,Muscle or fascia graft,Graft of muscle or fascia,138,1,8382
8339,Exc les soft tissue NEC,Excision of lesion of other soft tissue,137,1,8339
5732,Cystoscopy NEC,Other cystoscopy,130,1,5732
598,Ureteral catheterization,Ureteral catheterization,129,1,598
8851,Vena cav angiocardiogram,Angiocardiography of venae cavae,128,1,8851
8674,Attach pedicle graft NEC,Attachment of pedicle or flap graft to other sites,127,1,8674
544,Destruct peritoneal tiss,Excision or destruction of peritoneal tissue,125,1,544
4576,Open sigmoidectomy NEC,Open and other sigmoidectomy,125,1,4576
8849,Contrast arteriogram NEC,Arteriography of other specified sites,124,1,8849
9971,Therapeu plasmapheresis,Therapeutic plasmapheresis,123,1,9971
3963,Cardioplegia,Cardioplegia,118,1,3963
4432,Percu gastrojejunostomy,Percutaneous [endoscopic] gastrojejunostomy,117,1,4432
124,Other craniotomy,Other craniotomy,116,1,124
8605,Removal fb/dev from skin,Incision with removal of foreign body or device from skin and subcutaneous tissue,116,1,8605
9634,Gastric tube irrigat NEC,Other irrigation of (naso-)gastric tube,116,1,9634
42,Procedure-three vessels,Procedure on three vessels,114,1,42
42,Periph nerve destruction,Destruction of cranial and peripheral nerves,114,1,42
5503,Percu nephrostm w/o frag,Percutaneous nephrostomy without fragmentation,114,1,5503
9914,Injct/inf immunoglobulin,Injection or infusion of immunoglobulin,113,1,9914
47,Insert 3 vascular stents,Insertion of three vascular stents,111,1,47
5419,Laparotomy NEC,Other laparotomy,111,1,5419
9705,Repl stent in bile duct,Replacement of stent (tube) in biliary or pancreatic duct,110,1,9705
4543,Endosc destru lg int les,Endoscopic destruction of other lesion or tissue of large intestine,109,1,4543
118,Other brain dx procedure,Other diagnostic procedures on brain and cerebral meninges,109,1,118
3492,Inject into thorax cavit,Injection into thoracic cavity,109,1,3492
8099,Excision of joint NEC,"Other excision of joint, other specified sites",108,1,8099
3951,Clipping of aneurysm,Clipping of aneurysm,106,1,3951
5101,Percutan aspiration gb,Percutaneous aspiration of gallbladder,106,1,5101
8309,Soft tissue incision NEC,Other incision of soft tissue,106,1,8309
2319,Surg tooth extract NEC,Other surgical extraction of tooth,106,1,2319
8945,Pacemaker rate check,Artificial pacemaker rate check,104,1,8945
4593,Small-to-large bowel NEC,Other small-to-large intestinal anastomosis,104,1,4593
4823,Rigid proctosigmoidoscpy,Rigid proctosigmoidoscopy,104,1,4823
843,Wedg resec entropion rep,Repair of entropion or ectropion with wedge resection,104,1,843
843,Amputation stump revis,Revision of amputation stump,104,1,843
4591,Sm-to-sm bowel anastom,Small-to-small intestinal anastomosis,104,1,4591
4632,Percu endosc jejunostomy,Percutaneous (endoscopic) jejunostomy [PEJ],104,1,4632
3451,Decortication of lung,Decortication of lung,103,1,3451
151,Ex cereb meningeal les,Excision of lesion or tissue of cerebral meninges,102,1,151
3736,"Exc,destrct,exclus LAA","Excision, destruction, or exclusion of left atrial appendage (LAA)",102,1,3736
881,Linear rep lid lacer,Linear repair of laceration of eyelid or eyebrow,101,1,881
8104,Drsl/drslumb fus ant/ant,"Dorsal and dorsolumbar fusion of the anterior column, anterior technique",101,1,8104
3179,Other tracheal repair,Other repair and plastic operations on trachea,100,1,3179
3479,Other chest wall repair,Other repair of chest wall,100,1,3479
8845,Contrast renal arteriogr,Arteriography of renal arteries,99,1,8845
5012,Open liver biopsy,Open biopsy of liver,97,1,5012
9921,Inject antibiotic,Injection of antibiotic,96,1,9921
4611,Temporary colostomy,Temporary colostomy,94,1,4611
234,Ventricl shunt-abdomen,Ventricular shunt to abdominal cavity and organs,93,1,234
7761,Exc chest cage bone les,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]",93,1,7761
3348,Bronchial repair NEC,Other repair and plastic operations on bronchus,93,1,3348
4673,Small bowel suture NEC,"Suture of laceration of small intestine, except duodenum",93,1,4673
5425,Peritoneal lavage,Peritoneal lavage,92,1,5425
5551,Nephroureterectomy,Nephroureterectomy,90,1,5551
3327,Clos endoscopic lung bx,Closed endoscopic biopsy of lung,90,1,3327
481,Anesth injec periph nerv,Injection of anesthetic into peripheral nerve for analgesia,90,1,481
481,Proctostomy,Proctostomy,90,1,481
7817,Appl ext fix-tib/fibula,"Application of external fixator device, tibia and fibula",90,1,7817
5421,Laparoscopy,Laparoscopy,90,1,5421
8108,Lumb/lmbsac fus ant/post,"Lumbar and lumbosacral fusion of the anterior column, posterior technique",89,1,8108
5794,Insert indwelling cath,Insertion of indwelling urinary catheter,89,1,5794
5523,Closed renal biopsy,Closed [percutaneous] [needle] biopsy of kidney,89,1,5523
5462,Delayed clos abd wound,Delayed closure of granulating abdominal wound,88,1,5462
8844,Contr thor arteriogr NEC,Arteriography of other intrathoracic vessels,88,1,8844
4439,Gastroenterostomy NEC,Other gastroenterostomy without gastrectomy,88,1,4439
3998,Hemorrhage control NOS,"Control of hemorrhage, not otherwise specified",86,1,3998
4542,Endo polpectomy lrge int,Endoscopic polypectomy of large intestine,86,1,4542
3932,Suture of vein,Suture of vein,86,1,3932
3421,Transpleura thoracoscopy,Transpleural thoracoscopy,86,1,3421
5569,Kidney transplant NEC,Other kidney transplantation,85,1,5569
9608,Insert intestinal tube,Insertion of (naso-)intestinal tube,85,1,9608
3808,Lower limb artery incis,"Incision of vessel, lower limb arteries",83,1,3808
3229,Destroy loc lung les NEC,Other local excision or destruction of lesion or tissue of lung,83,1,3229
8365,Other muscle/fasc suture,Other suture of muscle or fascia,83,1,8365
43,Procedure-four+ vessels,Procedure on four or more vessels,82,1,43
43,Peripheral nerve suture,Suture of cranial and peripheral nerves,82,1,43
9357,Dressing of wound NEC,Application of other wound dressing,82,1,9357
6561,Oth remove ovaries/tubes,Other removal of both ovaries and tubes at same operative episode,81,1,6561
4575,Opn lft hemicolectmy NEC,Open and other left hemicolectomy,81,1,4575
863,Other local destruc skin,Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue,80,1,863
863,Lid reconst w hair graft,Reconstruction of eyelid with hair follicle graft,80,1,863
8751,Perc hepat Cholangiogram,Percutaneous hepatic cholangiogram,79,1,8751
8607,Insert vasc access dev,Insertion of totally implantable vascular access device [VAD],78,1,8607
2309,Tooth extraction NEC,Extraction of other tooth,78,1,2309
7749,Bone biopsy NEC,"Biopsy of bone, other bones",78,1,7749
3956,Repair vess w tis patch,Repair of blood vessel with tissue patch graft,77,1,3956
8106,Lumb/lmbosac fus ant/ant,"Lumbar and lumbosacral fusion of the anterior column, anterior technique",77,1,8106
8152,Partial hip replacement,Partial hip replacement,77,1,8152
8843,Contr pulmon arteriogram,Arteriography of pulmonary arteries,77,1,8843
8321,Open biopsy soft tissue,Open biopsy of soft tissue,76,1,8321
4621,Temporary ileostomy,Temporary ileostomy,76,1,4621
7931,Open red-int fix humerus,"Open reduction of fracture with internal fixation, humerus",75,1,7931
9969,Cardiac rhythm conv NEC,Other conversion of cardiac rhythm,73,1,9969
3973,Endo imp grft thor aorta,Endovascular implantation of graft in thoracic aorta,73,1,3973
3818,Lower limb endarterect,"Endarterectomy, lower limb arteries",73,1,3818
2751,Suture of lip laceration,Suture of laceration of lip,72,1,2751
7906,Cl fx reduc-tibia/fibula,"Closed reduction of fracture without internal fixation, tibia and fibula",72,1,7906
9749,Remov thor ther dev NEC,Removal of other device from thorax,72,1,9749
8919,Video/radio eeg monitor,Video and radio-telemetered electroencephalographic monitoring,72,1,8919
3199,Other tracheal operation,Other operations on trachea,71,1,3199
9977,App adhesion barrier sub,Application or administration of an adhesion barrier substance,70,1,9977
3812,Head & neck endarter NEC,"Endarterectomy, other vessels of head and neck",70,1,3812
113,Closed brain biopsy,Closed [percutaneous] [needle] biopsy of brain,69,1,113
7915,Closed red-int fix femur,"Closed reduction of fracture with internal fixation, femur",69,1,7915
3959,Repair of vessel NEC,Other repair of vessel,69,1,3959
527,Rad pancreaticoduodenect,Radical pancreaticoduodenectomy,69,1,527
202,Elevate skull fx fragmnt,Elevation of skull fracture fragments,69,1,202
9755,Remov biliary/liver tube,"Removal of T-tube, other bile duct tube, or liver tube",69,1,9755
5123,Laparoscopic cholecystec,Laparoscopic cholecystectomy,68,1,5123
7902,Cl fx reduc-radius/ulna,"Closed reduction of fracture without internal fixation, radius and ulna",68,1,7902
8415,Below knee amputat NEC,Other amputation below knee,67,1,8415
5361,Open incis hern-grft NEC,Other open incisional hernia repair with graft or prosthesis,67,1,5361
5498,Peritoneal dialysis,Peritoneal dialysis,66,1,5498
3596,Perc balloon valvuplasty,Percutaneous balloon valvuloplasty,65,1,3596
3391,Bronchial dilation,Bronchial dilation,65,1,3391
4241,Partial esophagectomy,Partial esophagectomy,65,1,4241
44,Proc-vessel bifurcation,Procedure on vessel bifurcation,64,1,44
4399,Total gastrectomy NEC,Other total gastrectomy,64,1,4399
540,Abdominal wall incision,Incision of abdominal wall,63,1,540
9815,Remov intralum trach FB,Removal of intraluminal foreign body from trachea and bronchus without incision,63,1,9815
4444,Transcath embo gast hem,Transcatheter embolization for gastric or duodenal bleeding,63,1,4444
7789,Partial ostectomy NEC,"Other partial ostectomy, other bones",62,1,7789
8164,Fus/refus 9 vertebrae,Fusion or refusion of 9 or more vertebrae,62,1,8164
153,Temp detach >1 xtroc mus,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes",62,1,153
153,Brain lobectomy,Lobectomy of brain,62,1,153
5349,Open rep umbil hern NEC,Other open umbilical herniorrhaphy,62,1,5349
7962,Debrid opn fx-radius/uln,"Debridement of open fracture site, radius and ulna",61,1,7962
7676,Open reduct mandible fx,Open reduction of mandibular fracture,60,1,7676
11,Infus drotrecogin alfa,Infusion of drotrecogin alfa (activated),60,1,11
9633,Gastric lavage,Gastric lavage,60,1,9633
8703,C.A.T. scan of head,Computerized axial tomography of head,59,1,8703
8914,Electroencephalogram,Electroencephalogram,59,1,8914
5472,Abdomen wall repair NEC,Other repair of abdominal wall,59,1,5472
7965,Debrid opn fx-femur,"Debridement of open fracture site, femur",59,1,7965
48,Insert 4+ vasculr stents,Insertion of four or more vascular stents,59,1,48
5351,Incisional hernia repair,Incisional hernia repair,59,1,5351
359,Spinal struct repair NEC,Other repair and plastic operations on spinal cord structures,59,1,359
3749,Heart/pericard repr NEC,Other repair of heart and pericardium,59,1,3749
4610,Colostomy NOS,"Colostomy, not otherwise specified",59,1,4610
8864,Portal contr phlebogram,Phlebography of the portal venous system using contrast material,58,1,8864
4675,Suture lg bowel lacerat,Suture of laceration of large intestine,58,1,4675
4579,Prt lg intes exc NEC/NOS,Other and unspecified partial excision of large intestine,58,1,4579
9356,Pressure dressing applic,Application of pressure dressing,58,1,9356
9928,Immunotherapy as antineo,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent,58,1,9928
9659,Wound irrigation NEC,Other irrigation of wound,58,1,9659
8961,Arterial pressure monit,Systemic arterial pressure monitoring,58,1,8961
9702,Replace gastrostomy tube,Replacement of gastrostomy tube,57,1,9702
7769,Loc exc bone lesion NEC,"Local excision of lesion or tissue of bone, other bones",57,1,7769
7679,Open reduct face fx NEC,Other open reduction of facial fracture,56,1,7679
741,Adrenal incision,Incision of adrenal gland,56,1,741
5022,Partial hepatectomy,Partial hepatectomy,56,1,5022
3971,Endo imp oth grf abd aor,Endovascular implantation of other graft in abdominal aorta,56,1,3971
741,Low cervical c-section,Low cervical cesarean section,56,1,741
3422,Mediastinoscopy,Mediastinoscopy,55,1,3422
503,Hepatic lobectomy,Lobectomy of liver,55,1,503
5061,Closure liver lacerat,Closure of laceration of liver,55,1,5061
8609,Skin & subq incision NEC,Other incision of skin and subcutaneous tissue,55,1,8609
9802,Remov intralum esoph FB,Removal of intraluminal foreign body from esophagus without incision,54,1,9802
3764,Remve ext hrt assist sys,Removal of external heart assist system(s) or device(s),54,1,3764
3975,"Endo emb hd/nk,bare coil",Endovascular embolization or occlusion of vessel(s) of head or neck using bare coils,54,1,3975
125,Other craniectomy,Other craniectomy,54,1,125
5114,Clo endosc bx bile duct,Other closed [endoscopic] biopsy of biliary duct or sphincter of Oddi,54,1,5114
4623,Permanent ileostomy NEC,Other permanent ileostomy,53,1,4623
315,Local destruc trach les,Local excision or destruction of lesion or tissue of trachea,52,1,315
4620,Ileostomy NOS,"Ileostomy, not otherwise specified",52,1,4620
613,Parathyroid biopsy,Biopsy of parathyroid gland,52,1,613
613,Scrotal les destruction,Excision or destruction of lesion or tissue of scrotum,52,1,613
8411,Toe amputation,Amputation of toe,52,1,8411
3511,Opn aortic valvuloplasty,Open heart valvuloplasty of aortic valve without replacement,52,1,3511
4601,Sm bowel exteriorization,Exteriorization of small intestine,52,1,4601
5137,Hepatic duct-gi anastom,Anastomosis of hepatic duct to gastrointestinal tract,52,1,5137
3957,Rep vess w synth patch,Repair of blood vessel with synthetic patch graft,52,1,3957
341,Incision of mediastinum,Incision of mediastinum,51,1,341
9341,Spine tract w skull dev,Spinal traction using skull device,51,1,9341
8949,AICD check,Automatic implantable cardioverter/defibrillator (AICD) check,51,1,8949
3539,Tiss adj to valv ops NEC,Operations on other structures adjacent to valves of heart,51,1,3539
2101,Ant nasal pack for epist,Control of epistaxis by anterior nasal packing,51,1,2101
242,Replace ventricle shunt,Replacement of ventricular shunt,50,1,242
3514,Opn tricus valvuloplasty,Open heart valvuloplasty of tricuspid valve without replacement,50,1,3514
4413,Gastroscopy NEC,Other gastroscopy,50,1,4413
4242,Total esophagectomy,Total esophagectomy,50,1,4242
242,Gingivoplasty,Gingivoplasty,50,1,242
3616,2 int mam-cor art bypass,Double internal mammary-coronary artery bypass,50,1,3616
64,Perc ins extracran stent,Percutaneous insertion of other extracranial artery stent(s),50,1,64
3799,Other heart/pericard ops,Other operations on heart and pericardium,50,1,3799
